	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
0	0	0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	इंजेक्शन दें या दवाइयाँ दें, लेकिन वह जल्दी ठीक होने चाहिए।
1	1	1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	उन्होंने कहा, “शूअब, हम समझते नहीं कि तुम कहते हो, और हम देखते हैं तुम्हारे साथ हमारी तुलना में तुम कम हो। अगर तुम कोई ट्रिब्यू नहीं हो, तो तुम्हें हमें चारों तरफ घेर लिया जाना चाहिए था। तुम कितनी मूल्यवान हो, यह हमारे लिए तुम्हारी कुछ भी महत्व नहीं है।”
2	2	2	- Yeah.	- हाँ.	- हाँ।
3	3	3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर दुष्टा हो जाता है तो उसे परेशानी होती है
4	4	4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	♪ बरसों से अपने करीबी रहूँगा
5	5	5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	'मैसेज में मैक्स को स्थानांतरित करने की कोशिश' '%s' का स्थान
6	6	6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	दिगी कैम के लिए इमेज हिस्ट्रोज़म जैड के लिए व्युत्पन्न प्लग-in के लिए
7	7	7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	उसने हर सक्षम लड़के को जंगल के प्राणपातक के रूप में ले जाकर उसे मार दिया।
8	8	8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से हैं।
9	9	9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	क्या मैं आपको इनमें से कुछ बेहतर है? जो सुरक्षा करते हैं उन्हें उनके राज्य में पेड़ हैं, जिनमें नदियाँ बहती हैं, जहाँ वे लोग अपने राज्य में रहें और उनमें अच्छे मित्र और राजा के प्रसन्नता; और राजा को देखते हैं।
10	10	10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	फिल का तापमान कितना है?
11	11	11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	आशा है कि आप जानना चाहेंगे कि क्या इस समय का पान-योग्य है
12	12	12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	तुमने दो अज्ञात लोगों को इस घर में बिना आमंत्रण के दिया।
13	13	13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	पूरी स्थिति तो फ़ुक्त करने वाली है।
14	14	14	Google Talk Home Name 3	गूगल टाक होम नाम 3	गूगल टॉक लाइन होम नाम 3
15	15	15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	सभी कैदियों ने लॉकडाउन के लिए आवाज़ उड़ाई है।
