Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	दिया जाने वाला एक्सटेंडेड इंजेक्शन या पिल के छोटे छोटे छोटे प्रशासन करें, लेकिन वह जल्द ही ठीक हो जाए।	0.7413078546524048	0.39609166979789734	0.34340792894363403
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मैं आपके लिए इस अनुवाद को हिंदी में प्रदान कर सकता हूँ:

वह कहते हैं, ""ओ शुआब, हमें आपके बारे में बहुत कुछ नहीं समझते हैं और हम देख रहे हैं कि आप हमारे साथ कमजोर हैं। यदि नहीं, तो हम आपको मारने के लिए तुम्हारे जाति के लिए हमारे साथ खड़े होते। आप किसी का कोई मूल्य नहीं हैं।"""	0.7112343311309814	0.4899448752403259	0.5231906175613403
- Yeah.	- हाँ.	हाँ।	0.8401281833648682	0.9168071746826172	0.840269923210144
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुष्ट किस्म होने पर वह परेशान हो जाता है।	0.7102417945861816	0.45178359746932983	0.42380452156066895
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"बहुत प्यार में भरा हुआ है: ""बहुत प्यार में भरा हुआ है"" का हिंदी अनुवाद है: ""बहुत प्यार में भरा हुआ है"""	0.5692224502563477	0.3452721834182739	0.18622301518917084
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	अर्थ: कोशिश कर रहे हैं कि मेल को एक नॉन-मेल्स स्रोत '%s' से भेजें।	0.7847071886062622	0.7202309370040894	0.6875748038291931
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	अपचारा हिस्ट्रोग्राफी समायोजित लेवल्स प्लगइन डिगिकम	0.8060296773910522	0.6343066692352295	0.5236507654190063
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं इसे हिंदी में अनुवाद करने में सक्षम हूँ:

वह हर क्षमता वाले सभी योद्धाओं को निशाना बनाकर फ्रेशर स्पिरिट को मारने के लिए गयी।"	0.710358202457428	0.512980043888092	0.4907798767089844
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।	0.7640846371650696	0.713583767414093	0.7419697046279907
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	अर्थ: कहो कि इनमें से क्या बेहतर है? जो लोग अच्छाई से लड़ते हैं, उनके पास उनके प्रेमी होते हैं, जो पवित्र पत्रों के पास होते हैं, और जो उनके सेवक होते हैं, वहाँ रहें, और जो उनके सेवक होते हैं, उनका आनंद; और जो लोग अच्छाई से लड़ते हैं, वह देख लेते हैं।	0.6704550981521606	0.3808867037296295	0.4018688201904297
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	है कि फिल की तरह ठंडा है?	0.8726148009300232	0.5300209522247314	0.4193394184112549
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	"मान लीजिए कि यह एक लेख है जिसमें इस प्रश्न का उत्तर दिया गया है: ""क्या वर्तमान जल स्रोत प्राप्त करने योग्य है?"""	0.6681048274040222	0.5525899529457092	0.5159436464309692
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञात लोगों को इस घर में अनपेक्षित रूप से प्रवेश कराने के लिए माफ कर रहे हैं।	0.795177161693573	0.6166498064994812	0.7242460250854492
