Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	-	0.6109544634819031	0.24765434861183167	0.001702338457107544
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	.	0.5500812530517578	0.16386203467845917	0.031348321586847305
- Yeah.	- हाँ.	D.	0.7008658647537231	0.7145271897315979	0.5567899942398071
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	-	0.6007102727890015	0.312845915555954	0.01796610653400421
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	-	0.6005094647407532	0.3551439344882965	0.07845921814441681
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro.
Pro."	0.4450233280658722	0.17473897337913513	0.01189548522233963
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	-	0.5527378916740417	0.27591702342033386	0.028540154919028282
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	-	0.5708848237991333	0.24729618430137634	0.03365778923034668
My mother's from Sweden.	वो मेरी माँ है.	user.	0.6532212495803833	0.38004550337791443	0.15294000506401062
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	-	0.5113794803619385	0.19396080076694489	0.03959570825099945
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	-	0.6168611645698547	0.39762023091316223	0.03440050780773163
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	.	0.6231356859207153	0.45427581667900085	0.08969186246395111
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	-	0.5948331356048584	0.2635940611362457	0.014588035643100739
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	-	0.6263418197631836	0.3124932646751404	0.11305753886699677
Google Talk Home Name 3	गूगल टाक होम नाम 3	-	0.5911037921905518	0.449075847864151	0.044248465448617935
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	user.	0.6450734734535217	0.33600521087646484	0.17498596012592316
Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	-	0.5367022752761841	0.19522765278816223	0.025532454252243042
Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	user.	0.5781448483467102	0.34229663014411926	0.08102153241634369
Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	-	0.5831098556518555	0.33189669251441956	0.39915695786476135
We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	user.	0.6161385774612427	0.3633171617984772	0.11368140578269958
Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	"user.
D."	0.6045474410057068	0.39058032631874084	0.09342637658119202
I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	-	0.5766036510467529	0.3066125214099884	0.10990001261234283
Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	.	0.5582284927368164	0.17117854952812195	0.043582748621702194
No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	-	0.5953369736671448	0.2971789538860321	0.0366792306303978
- No. Not here!	- यहाँ नहीं नहीं!	"user.
user."	0.6234903931617737	0.3112097680568695	0.3237590491771698
It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	.	0.6331424713134766	0.3066033720970154	0.009705184027552605
And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	-	0.5955873727798462	0.2943803369998932	0.00030511990189552307
MURPH:	MURPH:	-	0.6931745409965515	0.626453697681427	0.5150179266929626
And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	-	0.5952986478805542	0.2758350074291229	-0.014191526919603348
