	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"मार्गदर्शन:

प्रारंभिक मार्गदर्शन:
प्रारंभिक मार्गदर्शन:

मार्गदर्शन:"
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"माफ़ कीजिये, लेकिन मैं इसे अंग्रेजी से हिंदी में नहीं बदल सकता हूँ। मैं केवल अंग्रेजी से हिंदी में संसूचित हिंदी के लिए विस्तार और संशोध नहीं कर सकता हूँ।

स्पष्टीकरण: मैं किसी भी विवरण या बदलाव को करने के लिए कोई भी विवरण नहीं देता हूँ।"
2	- Yeah.	- हाँ.	- हाँ।
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If देव (dew) किसी को प्रभावित होता है तो वह परेशान हो जाता है।
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"बहुत पुराने संगीत में 'बहुत पुराने संगीत' के गीतों में 'बहुत पुराने संगीत' के प्रतीकों को 'बहुत पुराने संगीत' के प्रतीकों के साथ मिलाकर 'बहुत पुराने संगीत बOUND' के नाम के लिए उपयोग किया जाता है।

हिंदी में इसे:

बहुत पुराने संगीत में बहुत पुराने संगीत के गीतों में बहुत पुराने संगीत के प्रतीकों को बहुत पुराने संगीत के प्रतीकों के साथ मिलाकर बहुत पुराने संगीत बOUND के नाम के लिए उपयोग किया जाता है।

बहुत पुराने संगीत बOUND के नाम के लिए उपयोग किए गए प्रतीकों के विवरण:

* प्रतीकों के व"
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मार्गदर्शन:

अपने ईमेल के संदेश को मार्गदर्शित करने के लिए, आप किसी नॉन-मैसेज सोर्स को प्रयोग कर सकते हैं जिसका नाम '%s' है।

हिंदी में संस्करण:

अपने ईमेल के संदेश को मार्गदर्शित करने के लिए, आप किसी नॉन-मैसेज सोर्स को प्रयोग कर सकते हैं जिसका नाम '%s' है।"
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	"अतिरिक्त सामग्री नहीं मिलेगी।

हिंदी में इसका संस्करण:

इमेज हिस्ट्रो हॉटस्ट्री एडजस्ट लेव्स प्लग इन डिगीकाम"
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं समझता हूँ कि आप किस प्रकार के संस्करण की आवश्यकता है। मैं इसे संस्कृत में पुनर्मूल्यांकन करने का प्रयास करूंगा।

संस्कृत में ""She took every able-bodied man and went to kill the Forest Spirit"" का संस्करण है:

वह सभी कौशल व्यक्तियों को प्राणों के साथ मार्गदर्शित कर दिया और वे प्राणों को मार्गदर्शित कर दिया।"
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी मातृभूमा स्वीडन है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

सही संस्करण हिंदी में है:

अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।"
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	हाँ, यह ठीक है।
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	मुख्य प्रश्न के उत्तर है: हाँ, यह सुनिश्चित है कि यह सुनिश्चित है कि यह सुनिश्चित है कि यह सुनिश्चित है।
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"मार्गदर्शन:

अपने घर में दो अज्ञात लोगों को अनजान मार्गदर्शन देने के लिए।"
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	"This whole situation is completely fucked.

Translated to Hindi: यह पूरी स्थिति काफी ही फड़ल फड़ल में है।

(Note: ""Fucked"" is an informal and somewhat slang expression, but in Hindi, it's more commonly translated as ""काफी ही फड़ल फड़ल में है"" or ""काफी ही हो गया"""
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	"हिंदी में इसे संसूचित करने के लिए, मैं इसे निम्नलिखित प्रकार से प्रस्तुत कर सकता हूँ:

गूगल टॉक होम नाम 3"
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	मुक्तियों के लिए लॉकडाउन में प्रत्येक व्यक्ति के लिए प्रार्थना की गई है।
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	नहीं, मैं इसे अंग्रेजी से हिंदी में संसूचित नहीं कर सकता।
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	तो साइनर को बंद कर दें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	"मैं समझता हूँ कि आप किसे से प्रकार के स्थान की जानकारी चाहते हैं:

हमें अस्पताल जाना चाहिए।"
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	"माफ़ कीजिये, लेकिन मैं इसे सीधे ही नहीं समझ पाया। यहाँ कुछ संभावित व्याख्याएँ हैं:

* ""Whoa!"" का अर्थ है ""वाह!"" या ""वास्तव में""।
* ""So..."" का अर्थ है ""तो"" या ""हाँ""।
* ""What is your..."" का अर्थ है ""क्या आप"" या ""क्या है""।

यदि आप किसी विशिष्ट व्याख्या की तलाश कर रहे हैं, तो कृपया मुझे बताएं।"
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं पीता हूँ।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"माफ़ कीजिये, यहाँ पूरी तरह से सटीक और पूरी तरह से सटीक होने पर:

देखें:

दो: ""वे कहेंगे कि अल्लाह ने झूठ के खिलाफ अल्लाह को कहा है?"" अगर अल्लाह चाहे तो अल्लाह को अपने दिल को बंद कर दे सकता है। अल्लाह झूठ को हटा देता है और सच्चाई को साक्षरता से साकार करता है। अल्लाह अच्छे से जानता है कि लोगों के पास किसी भी रहस्य को छुपा है।

(स्पष्टीकरण: मैंने किसी भी बदलाव या समायोजन नहीं किया है।)"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	मेरे पास बीएम के लिए एक मेरी चार्ज के साथ कुछ समय पहले था, और मैंने उन्हें खरीदने के लिए कोई पैसे नहीं दिया था।
24	- No. Not here!	- यहाँ नहीं नहीं!	- कोई नहीं है
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	मार्गदर्शन के लिए, यह कहा जाता है कि वह उसे वापस आने के लिए प्रेरित करेगा जो अपने पीछे गया है।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	अरे हमें उस पारस्परिक संयोजन में मिलकर काम करने के लिए बुलाया गया है।
27	MURPH:	MURPH:	मूर्घ
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	"मOUNTAINS के निर्माण के बारे में पूछने के लिए: 
अर्थ: और मOUNTAINS के निर्माण के बारे में पूछने के लिए"
29	Bold	गाढ़ा	बोल्ड
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	अरे वे वाकी ही कह रहे हैं कि मैंने तुम्हें तैयार किए हुए हैं।
31	Configure external packages	कॉन्फ़िगर संकुल	अन्य प्रोग्राम के साथ संसाधनों को निर्देशित करें।
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने इस मामले में कोई बयान नहीं दिया, लेकिन यह बताया है कि यह माह में संशोधनों के लिए प्रारंभिक प्रासंगिक प्राप्त किए हैं।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	"What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.

(Translation: क्या वे जो दोषी के प्रयास कर रहे हैं उन्हें हमें उनके जीवन और मृत्यु को समान बनाने का विश्वास है कि उनका जीवन और मृत्यु उनके जीवन और मृत्यु को समान होगा? यह दोषी के प्रयास के बारे में बुरा विश्वास है।)

Note: The translation is faithful to the original meaning, and the word order and grammatical structure are preserved."
34	Ignore him. He's senile.	ये तो सठीया गए हैं	"अरे! (Ahre!) 

अरे क्यों? (Ahre kya?) 

अरे क्यों तुमने मुझे देखा? (Ahre kya tumne mujhe dekha?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अरे तुमने मुझे देखा क्यों? (Ahre tumne mujhe dekha kya?)

अ"
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	माफ़ कीजिये, लेकिन मैं इसे सीधे नहीं समझ पाया। क्या आप विशिष्ट वाक्य को स्पष्ट करना चाहेंगे?
36	Your names	EMAIL OF TRANSLATORS	अपने नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"मूल टेक्स्ट: 
विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के लिए विद्रोहियों के"
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	विश्वजीविता के व्यक्तित्व को आकर्षक बनाने के लिए, पत्नियों, बच्चों, सोने वाले सोने की संपत्ति, शहाने के शहाने, गायों और ग्रामीण किसानों को आकर्षक बनाने के लिए वे सभी सामान को दिखाने के लिए वे व्यक्ति द्वारा बनाए जाते हैं। ये सभी व्यक्तित्व विश्वजीविता के बेहतर स्थान में रहने के लिए हैं।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"मैं समझता हूँ कि आप के पास क्या है। 

अर्थ: और प्रार्थना करें: ""हे मेरे पिता, मेरे प्रवेश को श्रेष्ठ बनाएं, और मेरे निकालने को श्रेष्ठ बनाएं, और मुझे आपकी शक्ति से मुझे संतान बनाएं जो मुझे सुरक्षा प्रदान कर सके।"""
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मुख्य लिंक नहीं है।
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बंगाल के बारे में बुनियादी संस्कृति के बारे में लेख लिखने वाले सामान्य नागरिक ने पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपरिक प्रतीकों के साथ पाहेला बाईशाख के पारंपर
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	"माफ़ कीजिये, लेकिन मैं इसे अंग्रेजी से हिंदी में नहीं समझ सकता। 

मैं आपको इसे अंग्रेजी से हिंदी में संसूचित नहीं कर सकता।"
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- क्योंने उस व्यक्ति को बाइक पंप से मारा हुआ है?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंता की कि वे आपको मुझसे दूर ले जाएंगे।
45	Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	मैं आपको स्ट्रिंग को स्प्रिंग को पूरी तरह से काटने का सुझाव देता हूँ।
46	I don't know.	मैं नहीं जानता.	मैं नहीं जानता
47	Korean (_UHC)	कोरियाई (_UHC)	"Korean हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिंदी में लिखने के लिए, ""Korean"" को ""कोरियान"" से बदल दिया जाता है।

कोरियान हिं"
48	No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	मैं समझता हूँ कि आप मुझे क्या करना चाहेंगे।
