Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	मार्च के लोगों के कार्टिक को मार्च के लोगों के कार्टिक के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग के लिंग क	0.506838321685791	0.16677647829055786	0.005071405321359634
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	Kaha, yeh, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch nu, kuch nu kuch	0.5066798329353333	0.17318688333034515	0.12709707021713257
- Yeah.	- हाँ.	"Here is the translation from English to Hindi:

बहस्त"	0.6189666986465454	0.4130230247974396	0.18382549285888672
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	ਇਸਲਮੀਂਤੇ ਇਕਰ ਹੈ ਇਕਰ ਹੈ ਇਕਰ ਹੈ	0.5858170986175537	0.2842899262905121	0.11554792523384094
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	ਹੈ ਅਸੜੜ ਬੇ ਫਵਰ ਹੈ	0.6616242527961731	0.33869221806526184	0.05639701336622238
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मार्क ज़रो को मार्क को को मार्क को मार्क को	0.6142383813858032	0.22300726175308228	0.011874459683895111
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मार्क को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को को क	0.4759339392185211	0.1553514301776886	0.009726420044898987
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	मुखल में किसी भी ताकत वाले लोगों के साथ जाकर में में जान दिया जात।	0.6714341640472412	0.36772698163986206	0.32400834560394287
My mother's from Sweden.	वो मेरी माँ है.	मेरे मेरे मेरे	0.6678349375724792	0.40386292338371277	0.23516884446144104
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	Kaha: Yeh kya hai jo keh? Kya hai kuch bhi jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya hai jo keh? Kya	0.504052996635437	0.16743774712085724	0.08087660372257233
