Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	The following is a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a	0.4683264195919037	0.1157136857509613	-0.0030338019132614136
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"The following is the following text: from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The following text is from English to HindiEness the translation is accurate, fluent, and faithful to the original meaningDo not add, remove, or change any information.
Text: The"	0.4620715379714966	0.20324264466762543	0.09564745426177979
- Yeah.	- हाँ.	The following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is a good idea, and the following text is	0.5112518072128296	0.2992388904094696	0.1099201887845993
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	"The following is the following text: the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information.
Text: If the following text is accurate, accurate, and faithful to the original meaningDoNot add, remove, or change any information."	0.4371669888496399	0.24565377831459045	-0.002536352723836899
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text is a bit more than the original. The following text	0.4217608571052551	0.232923686504364	0.047876499593257904
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	The following text is a good, and the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoes the original meaningDoeses the original meaningDoeses the	0.4837179481983185	0.20475201308727264	0.009530354291200638
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	The following text is a bit more than than than than than than than than than than than than than than than the following text is a bit more than than than than than the following text is a bit more than than than than the following text is a bit more than than than than the following text is a bit more than than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than the following text is a bit more than than than the following text is a bit more than than than the following text is a bit more than than than	0.4556502103805542	0.2160259485244751	0.021179739385843277
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	The following text is a good thing to the original meaningDoes.	0.6162125468254089	0.21358992159366608	0.17803876101970673
My mother's from Sweden.	वो मेरी माँ है.	The following is the following text from English to HindiEnessenesseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseseses	0.6125596165657043	0.18280576169490814	0.1346173733472824
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	The following is the following text: I am the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the	0.4788420498371124	0.0999220460653305	0.09973341226577759
