	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	दिया जाने वाला एक्सटेंडेड इंजेक्शन या पिल के छोटे छोटे छोटे प्रशासन करें, लेकिन वह जल्द ही ठीक हो जाए।
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मैं आपके लिए इस अनुवाद को हिंदी में प्रदान कर सकता हूँ:

वह कहते हैं, ""ओ शुआब, हमें आपके बारे में बहुत कुछ नहीं समझते हैं और हम देख रहे हैं कि आप हमारे साथ कमजोर हैं। यदि नहीं, तो हम आपको मारने के लिए तुम्हारे जाति के लिए हमारे साथ खड़े होते। आप किसी का कोई मूल्य नहीं हैं।"""
2	- Yeah.	- हाँ.	हाँ।
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुष्ट किस्म होने पर वह परेशान हो जाता है।
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"बहुत प्यार में भरा हुआ है: ""बहुत प्यार में भरा हुआ है"" का हिंदी अनुवाद है: ""बहुत प्यार में भरा हुआ है"""
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	अर्थ: कोशिश कर रहे हैं कि मेल को एक नॉन-मेल्स स्रोत '%s' से भेजें।
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	अपचारा हिस्ट्रोग्राफी समायोजित लेवल्स प्लगइन डिगिकम
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं इसे हिंदी में अनुवाद करने में सक्षम हूँ:

वह हर क्षमता वाले सभी योद्धाओं को निशाना बनाकर फ्रेशर स्पिरिट को मारने के लिए गयी।"
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	अर्थ: कहो कि इनमें से क्या बेहतर है? जो लोग अच्छाई से लड़ते हैं, उनके पास उनके प्रेमी होते हैं, जो पवित्र पत्रों के पास होते हैं, और जो उनके सेवक होते हैं, वहाँ रहें, और जो उनके सेवक होते हैं, उनका आनंद; और जो लोग अच्छाई से लड़ते हैं, वह देख लेते हैं।
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	है कि फिल की तरह ठंडा है?
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	"मान लीजिए कि यह एक लेख है जिसमें इस प्रश्न का उत्तर दिया गया है: ""क्या वर्तमान जल स्रोत प्राप्त करने योग्य है?"""
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञात लोगों को इस घर में अनपेक्षित रूप से प्रवेश कराने के लिए माफ कर रहे हैं।
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	यह पूरी स्थिति पूरी तरह से फुकड़ी है।
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Talk Home Name 3
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	मुकदमे के पीड़ित लोगों ने लॉकडाउन में भाग लिया।
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	"नहीं, बिल्कुल नहीं। (Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water?) 

हिंदी में: नहीं, बिल्कुल नहीं। (नहीं, बिल्कुल नहीं।) 

नहीं, बिल्कुल नहीं। (नहीं, बिल्कुल नहीं।)"
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	मार्गदर्शक के लिए: साइन को बंद करें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	"हॉस्पिटल जाने का सुझाव देने वाले लोगों के संदेश का हिंदी अनुवाद है:

हमें अस्पताल जाने का सुझाव देने वाले लोगों के संदेश का हिंदी अनुवाद है:

हमें अस्पताल जाने का सुझाव देने वाले लोगों के संदेश का हिंदी अनुवाद है"
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	"मैं आपके लिए हिंदी में इसे अनुवाद करने में मदद कर सकता हूँ। लेकिन मैं आपको बताना चाहता हूँ कि मैं इसे अनुवाद करने के लिए कुछ सीमाएँ रखूँगा। मैं आपको इसे अनुवाद करने के लिए इस प्रकार की सीमाएँ न लगाऊंगा:

मैं आपको इस प्रकार की सीमाएँ न लगाऊँगा:

* मैं आपको इस प्रकार की सीमाएँ न लगाऊँगा कि आप किसी विशेष विषय पर चर्चा कर रहे हैं या किसी विशेष विषय पर कोई प्रश्न पूछ रहे हैं।
* मैं आपको इस प्रकार की सीमाएँ न लगाऊँगा कि आप किसी विशेष व्यक्ति के बारे में बात कर रहे हैं या किसी विशेष व्यक्ति के बारे में कोई प्रश्न प"
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं जा रहा हूँ, यह पेय पीने को नहीं करना चाहता।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"दोस्तों, यहाँ एक हिंदी अनुवाद है:

क्या कहा जाए: ""वह एक झूठ को Allah के पास बना दिया है?"" अगर Allah चाहे वह आपके दिल को बंद कर दे, Allah झूठ को हटा देता है और सच्चाई को पुष्ट करता है उसके शब्दों के माध्यम से। वह सभी छुपे हुए रहस्यों को अपनी छाती में रखे हुए हैं।"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	नहीं, लेकिन मैंने बीएमडी को मेरे लिए चार सप्ताह पहले बेच दिया, याद रखें?
24	- No. Not here!	- यहाँ नहीं नहीं!	माफ़ कीजिये, मैं आपको इस हिंदी में अनुवाद करने में मदद नहीं कर सकता।
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

यह उसे जो अपनी पीछे हट गया और वापस चला गया, उसे बहुत बार प्रेरित करेगा।"
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	अरे हमें वहां इकट्ठा किया गया है।
27	MURPH:	MURPH:	मुर्फ
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAIN - किन्हें बनाया गया?
29	Bold	गाढ़ा	बोल्ड
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	मैं आपको बताने के लिए तैयार हूँ कि यह शब्द जो मैंने तैयार किया है, आपको क्या कहने के लिए कहूंगा।
