Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"मार्गदर्शन:

प्रारंभिक मार्गदर्शन:
प्रारंभिक मार्गदर्शन:

मार्गदर्शन:"	0.5680586695671082	0.26982834935188293	0.052982985973358154
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"माफ़ कीजिये, लेकिन मैं इसे अंग्रेजी से हिंदी में नहीं बदल सकता हूँ। मैं केवल अंग्रेजी से हिंदी में संसूचित हिंदी के लिए विस्तार और संशोध नहीं कर सकता हूँ।

स्पष्टीकरण: मैं किसी भी विवरण या बदलाव को करने के लिए कोई भी विवरण नहीं देता हूँ।"	0.6440450549125671	0.33738628029823303	0.28059980273246765
- Yeah.	- हाँ.	- हाँ।	0.941323459148407	0.9756080508232117	0.8946220278739929
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If देव (dew) किसी को प्रभावित होता है तो वह परेशान हो जाता है।	0.7066351771354675	0.4451601207256317	0.5352858901023865
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"बहुत पुराने संगीत में 'बहुत पुराने संगीत' के गीतों में 'बहुत पुराने संगीत' के प्रतीकों को 'बहुत पुराने संगीत' के प्रतीकों के साथ मिलाकर 'बहुत पुराने संगीत बOUND' के नाम के लिए उपयोग किया जाता है।

हिंदी में इसे:

बहुत पुराने संगीत में बहुत पुराने संगीत के गीतों में बहुत पुराने संगीत के प्रतीकों को बहुत पुराने संगीत के प्रतीकों के साथ मिलाकर बहुत पुराने संगीत बOUND के नाम के लिए उपयोग किया जाता है।

बहुत पुराने संगीत बOUND के नाम के लिए उपयोग किए गए प्रतीकों के विवरण:

* प्रतीकों के व"	0.5113944411277771	0.3652046322822571	0.08389057219028473
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मार्गदर्शन:

अपने ईमेल के संदेश को मार्गदर्शित करने के लिए, आप किसी नॉन-मैसेज सोर्स को प्रयोग कर सकते हैं जिसका नाम '%s' है।

हिंदी में संस्करण:

अपने ईमेल के संदेश को मार्गदर्शित करने के लिए, आप किसी नॉन-मैसेज सोर्स को प्रयोग कर सकते हैं जिसका नाम '%s' है।"	0.6247237324714661	0.49227526783943176	0.17729400098323822
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	"अतिरिक्त सामग्री नहीं मिलेगी।

हिंदी में इसका संस्करण:

इमेज हिस्ट्रो हॉटस्ट्री एडजस्ट लेव्स प्लग इन डिगीकाम"	0.7836823463439941	0.5545435547828674	0.3021026849746704
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं समझता हूँ कि आप किस प्रकार के संस्करण की आवश्यकता है। मैं इसे संस्कृत में पुनर्मूल्यांकन करने का प्रयास करूंगा।

संस्कृत में ""She took every able-bodied man and went to kill the Forest Spirit"" का संस्करण है:

वह सभी कौशल व्यक्तियों को प्राणों के साथ मार्गदर्शित कर दिया और वे प्राणों को मार्गदर्शित कर दिया।"	0.6673693060874939	0.4646405875682831	0.3198152780532837
My mother's from Sweden.	वो मेरी माँ है.	मेरी मातृभूमा स्वीडन है।	0.7381722927093506	0.6420718431472778	0.7437859773635864
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

सही संस्करण हिंदी में है:

अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।

संस्करण:
अरे मैं आपके लिए इसे हिंदी में संस्करण करूंगा।"	0.5492919683456421	0.27028119564056396	0.09377014636993408
