Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	खड़तियों को शॉट किया जाये, लेकिन तो तो तुम तो तिम में तो तुम पारम्पार्मज़।	0.6732816100120544	0.2996302545070648	0.03088626265525818
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	यह सुनाई हो कि शोभ, “सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो शाही, सो श	0.5473226308822632	0.19656804203987122	0.12025898694992065
- Yeah.	- हाँ.	सद्.	0.7155239582061768	0.595992922782898	0.6067522764205933
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If evil befalls him he is perturbed;	0.6443188190460205	0.4123736321926117	0.05909343436360359
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"Text:
को को प्रापत को भाग को पव भाग भाव को भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भाव भavar (Source: Encyclopedia Britannica, 28.01.2017."	0.5044035315513611	0.17106971144676208	0.04989421367645264
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	सब्स्ट्रवाई में को	0.6697045564651489	0.2965106964111328	0.09565860033035278
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	"Translate of the following text is as follows:
Image histogram adjust levels plugin for digiKam"	0.6466667652130127	0.37047508358955383	0.1562035083770752
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	यह किसे को पूरी तरह से अपने पूरी तरह स्वाल्पण के लिए जोड़ने के लिए तो कि वे किसे को अपने सभी से पूरी तरह स्वाल्पण के लिए जोड़ने के लिए तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो क तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो तो कि वे को पूरी तरह स्वाल्पण के लिए जोड़ने के लो तो कि वे को	0.5899105072021484	0.3171560764312744	0.09754395484924316
My mother's from Sweden.	वो मेरी माँ है.	सबसे सबसे ऐसा है।	0.7114923000335693	0.40490227937698364	0.22439540922641754
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	प्रतिनिर्द्रण के तो प्रतिनिर्द्रण के तो कुछ के के के ऐसे सारे जातियों और जातुओं के भी पूर्ण सारे जातियों और जातुओं के भी पूर्ण मात्स और प्यूसिट्स के तो प्रतिनिर्द्रण के तो कुछ के तो प्रतिनिर्द्रण के तो के तो प्रतिनिर्द्रण के तो प्रतिनिर्द्रण के तो प्रतिनिर्द्रण के तो प्रतिनिर्द्रण के तो प्रतिनिर्द्रण की को के लोगों को प्रास ज़का हो सकता थिना ज़ाका के लोगों को प्रेस ज़का हो सकता थिना ज़ाका के लोगों को प्रेस ज़का हो सकता थिना ज़ाका के लोगों को प्रेस ज़का हो सकता थिन	0.6013206839561462	0.2508336305618286	0.11608332395553589
