Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	इन्जेक्शन या दवाओं के डोज दें, लेकिन वह जल्द ही ठीक हो जाएगा।	0.7748540639877319	0.5912631154060364	0.781377375125885
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"उन्होंने कहा, ""ओ शूआइब, हम तुम्हारे बोले में काफी समझ नहीं पाते हैं और हम देखते हैं कि तुम अपने लोगों में कमजोर हो गए हो। अगर तुम्हारे परिवार के बिना होते, हम तुम्हे पत्थर से चकास देते। तुम लोगों के लिए कोई मूल्य नहीं होते।"""	0.7649326920509338	0.5403856635093689	0.5829592347145081
- Yeah.	- हाँ.	- हां।	0.8908442854881287	0.9471491575241089	0.9252123832702637
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर विषाक्तता उस पर हो जाए तो वह चिंतित हो जाता है;	0.7275370955467224	0.6092653274536133	0.7492170333862305
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	♪ हमेशा बंद रहो	0.6902490854263306	0.4528346359729767	0.5060954689979553
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	नॉन-मबॉक स्रोत '%s' के साथ मेल ब्रोडकास्ट करने के प्रयास कर रहे हैं	0.7931060194969177	0.5124406814575195	0.5861623287200928
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	दिजिकैम के लिए छवि हिस्टोग्राम नियंत्रित स्तर प्लगइन	0.8600850701332092	0.6546708941459656	0.7570732235908508
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	उसने प्रत्येक सक्षम आदमी को लेकर वन देव को मारने गए।	0.7338494658470154	0.49005529284477234	0.5954259634017944
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन की है।	0.7647482752799988	0.693669319152832	0.6935716867446899
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	कहो: क्या मैं आपको इन चीзों के बाद बेहतर चीजों के बारे में बताऊं? वे जो बुराई के खिलाफ देख रहे हैं, वे अपने ईश्वर के साथ जंगल होंगे, जिनके नीचे नदियां बह रही हों, जहां वे रह सकें, और शुद्ध भागीदार और ईश्वर की खुशी; और ईश्वर अपने भक्तों को देखता है।	0.7251165509223938	0.47442060708999634	0.5558123588562012
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	फिल के जैसा ठंडा है क्या?	0.8030680418014526	0.5433475375175476	0.5882824659347534
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	वर्तमान स्ट्रीम के लिए अपेक्षित करने योग्य होना क्या है?	0.7599660158157349	0.66880863904953	0.6988597512245178
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आपने दो अज्ञात आदमियों को इस घर में बिना आमंत्रण के प्रवेश करने दिया।	0.793012261390686	0.679309606552124	0.801507294178009
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	इस प�ूरे स्थिति खूब खराब है।	0.8036338090896606	0.5404344201087952	0.36962369084358215
Google Talk Home Name 3	गूगल टाक होम नाम 3	गूगल टैक घर नाम 3	0.9052558541297913	0.7670966386795044	0.8776772618293762
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	सभी जेलीयों के लिए लॉकडाउन शुरू हो जाता है।	0.8207828402519226	0.6450645923614502	0.6476954221725464
