	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	इन्जेक्शन या दवाओं के डोज दें, लेकिन वह जल्द ही ठीक हो जाएगा।
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"उन्होंने कहा, ""ओ शूआइब, हम तुम्हारे बोले में काफी समझ नहीं पाते हैं और हम देखते हैं कि तुम अपने लोगों में कमजोर हो गए हो। अगर तुम्हारे परिवार के बिना होते, हम तुम्हे पत्थर से चकास देते। तुम लोगों के लिए कोई मूल्य नहीं होते।"""
2	- Yeah.	- हाँ.	- हां।
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर विषाक्तता उस पर हो जाए तो वह चिंतित हो जाता है;
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	♪ हमेशा बंद रहो
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	नॉन-मबॉक स्रोत '%s' के साथ मेल ब्रोडकास्ट करने के प्रयास कर रहे हैं
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	दिजिकैम के लिए छवि हिस्टोग्राम नियंत्रित स्तर प्लगइन
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	उसने प्रत्येक सक्षम आदमी को लेकर वन देव को मारने गए।
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन की है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	कहो: क्या मैं आपको इन चीзों के बाद बेहतर चीजों के बारे में बताऊं? वे जो बुराई के खिलाफ देख रहे हैं, वे अपने ईश्वर के साथ जंगल होंगे, जिनके नीचे नदियां बह रही हों, जहां वे रह सकें, और शुद्ध भागीदार और ईश्वर की खुशी; और ईश्वर अपने भक्तों को देखता है।
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	फिल के जैसा ठंडा है क्या?
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	वर्तमान स्ट्रीम के लिए अपेक्षित करने योग्य होना क्या है?
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आपने दो अज्ञात आदमियों को इस घर में बिना आमंत्रण के प्रवेश करने दिया।
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	इस प�ूरे स्थिति खूब खराब है।
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	गूगल टैक घर नाम 3
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	सभी जेलीयों के लिए लॉकडाउन शुरू हो जाता है।
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	क्या अन्यायी लोग ने नहीं देखा कि आकाश और पृथ्वी एक-दूसरे से एकत्र थे, तो हम ने उनको अलग कर दिया और हमने प्रत्येक जीव को पानी से बनाया? तो वे नहीं विश्वास लेंगे?
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	साउन्ड बंद करें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	नाम:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हम एक अस्पताल में जाना चाहिए।
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	ओह! तो... आपका...
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं इसे पीने नहीं जाऊंगा।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"क्या वे कहते हैं: ""वह ईश्वर के खिलाफ एक बात को बनाये रखता है?"" अगर ईश्वर चाहे तो आपके दिल को बंद कर देता है। ईश्वर अफवाहों को धूब देता है और अपने शब्द द्वारा सत्य को साबित करता है। वह सभी गुप्त चीजों के बारे में जानता है जो लोगों के दिलों में छिपी हुई हैं।"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	नहीं, लेकिन मैंने चार फिक्सिंग सप्ताह पहले बम्बर्ग को मर्सिडीज के लिए बदल दिया था, याद क्यों नहीं?
24	- No. Not here!	- यहाँ नहीं नहीं!	- नहीं, यहाँ नहीं!
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	यह उसे ताकत से बुलाएगा जिसने पीछे चले गए और आगे बढ़ने से वापस लौट गए।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	और हम इसके लिए एक साथ बैठे हैं।
27	MURPH:	MURPH:	मर्फ:
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	और पहाड़ – वे कैसे स्थापित हुए?
29	Bold	गाढ़ा	मजबूत
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	और वह आपके लिए तैयार किए गए शब्द कहेगा।
31	Configure external packages	कॉन्फ़िगर संकुल	बाहरी पакेज नियोजित करें
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने अव्यवस्था के बारे में बताने से इनकार कर दिया, लेकिन इस महीने यह बताया कि यह नियामकों से जानकारी के लिए अनुरोध प्राप्त किए हैं।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	क्या! वे जो बुरे मार्ग की ओर ले जाने वाले हैं, वे सोचते हैं कि हम उन्हें विश्वास करने वालों और अच्छे काम करने वालों के साथ समान रखेंगे, जिनके जीवन और मृत्यु बराबर होगी? वे अपना फैसला बुरा समझते हैं।
34	Ignore him. He's senile.	ये तो सठीया गए हैं	उसे बर्बर करो। वह बूढ़ा है।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	उपयोगकर्ता '%s' के लिए DN प्राप्त नहीं हो सका
36	Your names	EMAIL OF TRANSLATORS	आपके नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	अनुवादक सम्मान
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	दुनिया के लालच, पत्नियाँ, बच्चे, संग्रहित स्वर्ण और रूपया, श्रेष्ठ जाति के घोड़े, गायें और कृषि जमीन सभी आदमी के लिए आकर्षक दिखाई देते हैं। सभी ये दुनिया के जीवन के दान हैं, लेकिन आगे जाकर ईश्वर के लिए आदमी के लिए सबसे अच्छा स्थान होता है।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"और नमाज़ में कहो: ""अख़र्ज़ आप जीवन के आरंभ को श्रेष्ठ बनाए और मृत्यु को श्रेष्ठ बनाए, और मुझे आप से शक्ति दें जो मेरे लिए सहायता करे।"""
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	कोई गीत लिखने के लिए नहीं हैं।
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	एक सामान्य नागरिक बांग्लादेश में पहेला बैशाख के जश्न के समृद्ध संस्कृति के बारे में लिखता है।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	कुछ भी कर नहीं सकते?
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- आपने उसे साइकिल के बर्फ के साथ कैसे पीछे छोड़ा?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतित था कि आप अपने साथ ले जायेंगे।
