	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	मिलानों की छोटी मात्रा दें, लेकिन वह जल्द ही ठीक हो जाए।
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मुझे खेद है, लेकिन मैं इसे हिंदी में नहीं बदल सकता क्योंकि यह संस्कृत भाषा का हिस्सा है। 

यहाँ हिंदी में इसका अनुवाद है:

उनने कहा, ""शुआब, हमें आपके बारे में बहुत कुछ नहीं समझते हैं और हमें लगता है कि आप हमारे से कमजोर हैं। यदि यह सच नहीं है, तो हम आपको मारने के लिए हमारे समुदाय के लिए मजबूर होते। आप किसी की कीमत नहीं हैं।"""
2	- Yeah.	- हाँ.	हाँ।
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुर्भाग्य (durbhagya) होता है (hota hai) उसे (us) असहज (asahaj) हो जाता है।
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	बहुत प्यार में प्यार बनाए रखने का अर्थ है - बहुत प्यार में प्यार बनाए रखने का अर्थ है।
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा:

मैंने कोशिश की है कि मैंने मेल मैसेज़ को मैसेज़ से अलग करने की कोशिश करूं।

कृपया ध्यान दें कि मैंने किसी भी जानकारी को बदलने, हटाने या हटाने में कोई सुधार नहीं किया।"
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	अतिरिक्त कोई जानकारी नहीं है।
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मुझे आपकी अनुमति दें 

मैं इसे हिंदी में अनुवाद करने की कोशिश करता हूँ, जो सटीक, सुंदर और पूरी तरह से प्रासंगिक होने के लिए है।"
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"मुझे खेद है, लेकिन मैं इसे सीधे हिंदी में नहीं बदल सकता। हालांकि, मैं इसे सीधे हिंदी में प्रस्तुत कर सकता हूं।

शरीफ: शायद मैं आपको इनमें से कुछ बेहतर क्या है? जो लोग अच्छे से सुरक्षित हैं, उनके पास उनके प्रियर के पास होते हैं, जहां नदियाँ बहती हैं, और वहाँ शांति और शुद्धता है, और वह उनके सेवकों को देखता है।"
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	"मुझे आपके प्रश्न का सम्मान देने के लिए खुशी है। 

हिंदी में इसे:

है कि फिल के समान ठंडा है?"
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	मान लेना कि यह प्रश्न किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के बारे में है, जो कि किसी विशेष स्थानीय प्रणाली या सेवा के
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"मैं आपके लिए हिंदी में इसे अनुवाद करने का प्रयास करूंगा।

आप दो अज्ञात लोगों को यह घर अवैध रूप से प्रवेश देने के लिए सहमत नहीं हैं।"
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	मैं इस स्थिति को पूरी तरह से फ्रेश नहीं हूँ।
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Talk Home Name 3
