Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"Translation:
Give shots of injections or pills, but he must be alright soon.

English:
Give shots of injections or pills, but he must be alright soon.

Hindi:
Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills,"	0.4857851564884186	0.3001157343387604	0.030601296573877335
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you"	0.48795831203460693	0.2804262340068817	0.020230581983923912
- Yeah.	- हाँ.	"I'll provide the translation.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

-"	0.5798576474189758	0.31174662709236145	0.17874543368816376
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	"Translation:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil"	0.47267305850982666	0.2751867473125458	0.0340939462184906
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"Translation:
Be Forever Bound"	0.589090883731842	0.27983447909355164	0.11612287163734436
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:"	0.45363032817840576	0.1702379286289215	0.013622699305415154
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	"Translation:
Image histogram adjust levels plugin for digiKam"	0.6439784169197083	0.37425974011421204	0.11834107339382172
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit."	0.4849041998386383	0.2915232479572296	0.11401881277561188
My mother's from Sweden.	वो मेरी माँ है.	"Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden."	0.48373734951019287	0.2372785359621048	0.11484496295452118
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah"	0.4726637005805969	0.2784939110279083	0.023175902664661407
