Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	मिलानों की छोटी मात्रा दें, लेकिन वह जल्द ही ठीक हो जाए।	0.7781965732574463	0.46343424916267395	0.6641086339950562
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मुझे खेद है, लेकिन मैं इसे हिंदी में नहीं बदल सकता क्योंकि यह संस्कृत भाषा का हिस्सा है। 

यहाँ हिंदी में इसका अनुवाद है:

उनने कहा, ""शुआब, हमें आपके बारे में बहुत कुछ नहीं समझते हैं और हमें लगता है कि आप हमारे से कमजोर हैं। यदि यह सच नहीं है, तो हम आपको मारने के लिए हमारे समुदाय के लिए मजबूर होते। आप किसी की कीमत नहीं हैं।"""	0.7126051187515259	0.5041788816452026	0.535368800163269
- Yeah.	- हाँ.	हाँ।	0.8401282429695129	0.9168071746826172	0.8402699828147888
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुर्भाग्य (durbhagya) होता है (hota hai) उसे (us) असहज (asahaj) हो जाता है।	0.6230374574661255	0.3793964385986328	0.21686871349811554
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	बहुत प्यार में प्यार बनाए रखने का अर्थ है - बहुत प्यार में प्यार बनाए रखने का अर्थ है।	0.5799192190170288	0.33830252289772034	0.20727501809597015
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मैं इसे हिंदी में अनुवाद करने की कोशिश करूंगा:

मैंने कोशिश की है कि मैंने मेल मैसेज़ को मैसेज़ से अलग करने की कोशिश करूं।

कृपया ध्यान दें कि मैंने किसी भी जानकारी को बदलने, हटाने या हटाने में कोई सुधार नहीं किया।"	0.6526822447776794	0.37656429409980774	0.06009326130151749
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	अतिरिक्त कोई जानकारी नहीं है।	0.6078398823738098	0.3920762538909912	0.22598512470722198
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मुझे आपकी अनुमति दें 

मैं इसे हिंदी में अनुवाद करने की कोशिश करता हूँ, जो सटीक, सुंदर और पूरी तरह से प्रासंगिक होने के लिए है।"	0.6337057948112488	0.4226326644420624	0.4027491509914398
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।	0.7640846371650696	0.7135838866233826	0.7419690489768982
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"मुझे खेद है, लेकिन मैं इसे सीधे हिंदी में नहीं बदल सकता। हालांकि, मैं इसे सीधे हिंदी में प्रस्तुत कर सकता हूं।

शरीफ: शायद मैं आपको इनमें से कुछ बेहतर क्या है? जो लोग अच्छे से सुरक्षित हैं, उनके पास उनके प्रियर के पास होते हैं, जहां नदियाँ बहती हैं, और वहाँ शांति और शुद्धता है, और वह उनके सेवकों को देखता है।"	0.6687124371528625	0.42489632964134216	0.32611581683158875
