	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"Translation:
Give shots of injections or pills, but he must be alright soon.

English:
Give shots of injections or pills, but he must be alright soon.

Hindi:
Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills, but he must be alright soon.

Hindi: Give shots of injections or pills, but he must be alright soon.

English: Give shots of injections or pills,"
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”

Translation:
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you"
2	- Yeah.	- हाँ.	"I'll provide the translation.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

- Yeah.

-"
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	"Translation:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil befalls him he is perturbed.

Text:
If evil"
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"Translation:
Be Forever Bound"
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:
Translation:"
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	"Translation:
Image histogram adjust levels plugin for digiKam"
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit.

Translation:
She took every able-bodied man and went to kill the Forest Spirit."
8	My mother's from Sweden.	वो मेरी माँ है.	"Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Text:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation:
My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden.

Translation: My mother's from Sweden."
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.

Translation:
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah"
