Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	इंजेक्शन दें या दवाइयाँ दें, लेकिन वह जल्दी ठीक होने चाहिए।	0.7923567891120911	0.7357346415519714	0.852180004119873
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	उन्होंने कहा, “शूअब, हम समझते नहीं कि तुम कहते हो, और हम देखते हैं तुम्हारे साथ हमारी तुलना में तुम कम हो। अगर तुम कोई ट्रिब्यू नहीं हो, तो तुम्हें हमें चारों तरफ घेर लिया जाना चाहिए था। तुम कितनी मूल्यवान हो, यह हमारे लिए तुम्हारी कुछ भी महत्व नहीं है।”	0.7392565011978149	0.3805970847606659	0.397978812456131
- Yeah.	- हाँ.	- हाँ।	0.941323459148407	0.9756079316139221	0.8946219086647034
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर दुष्टा हो जाता है तो उसे परेशानी होती है	0.7436383366584778	0.5511658787727356	0.7500311732292175
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	♪ बरसों से अपने करीबी रहूँगा	0.6696356534957886	0.394589900970459	0.24580763280391693
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	'मैसेज में मैक्स को स्थानांतरित करने की कोशिश' '%s' का स्थान	0.7702307105064392	0.4136985242366791	0.2780485153198242
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	दिगी कैम के लिए इमेज हिस्ट्रोज़म जैड के लिए व्युत्पन्न प्लग-in के लिए	0.7958680987358093	0.6117591261863708	0.3582422733306885
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	उसने हर सक्षम लड़के को जंगल के प्राणपातक के रूप में ले जाकर उसे मार दिया।	0.7050651907920837	0.4814271032810211	0.7282198071479797
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से हैं।	0.7594910860061646	0.7224531173706055	0.7530364990234375
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	क्या मैं आपको इनमें से कुछ बेहतर है? जो सुरक्षा करते हैं उन्हें उनके राज्य में पेड़ हैं, जिनमें नदियाँ बहती हैं, जहाँ वे लोग अपने राज्य में रहें और उनमें अच्छे मित्र और राजा के प्रसन्नता; और राजा को देखते हैं।	0.6922780275344849	0.35071316361427307	0.361674427986145
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	फिल का तापमान कितना है?	0.802332878112793	0.5570681691169739	0.5251463651657104
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	आशा है कि आप जानना चाहेंगे कि क्या इस समय का पान-योग्य है	0.679364025592804	0.5032522082328796	0.505347728729248
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	तुमने दो अज्ञात लोगों को इस घर में बिना आमंत्रण के दिया।	0.8006669282913208	0.5936448574066162	0.641122043132782
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	पूरी स्थिति तो फ़ुक्त करने वाली है।	0.7821749448776245	0.5136673450469971	0.4839286804199219
Google Talk Home Name 3	गूगल टाक होम नाम 3	गूगल टॉक लाइन होम नाम 3	0.9307786822319031	0.8167645931243896	0.8919929265975952
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	सभी कैदियों ने लॉकडाउन के लिए आवाज़ उड़ाई है।	0.8475196957588196	0.6358239650726318	0.5139649510383606
Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	नहीं थे अस्वीकार्यों ने देखा था कि हम heavens और पृथ्वी एक साथ थीं और हमने उन्हें अलग कर दिया और हमारे पास हर जीव भी है जो पानी से बना है? ऐसा क्या उन्हें समझेंगे कि हमने ईमानदारी प्राप्त की?	0.6956448554992676	0.41962307691574097	0.3812137246131897
Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	सीनर को बंद कर दें।	0.6626425385475159	0.41656026244163513	0.442929208278656
Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	नाम:	0.6241247057914734	0.3399714529514313	0.525112509727478
We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हमें अस्पताल जाना चाहिए।	0.9462459087371826	0.9403135776519775	0.914667010307312
Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	अहा! तो... आपका...	0.659412682056427	0.6419039368629456	0.37272560596466064
I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं उसे पीने से पहले नहीं पीती।	0.8641335964202881	0.548313558101654	0.5236077904701233
Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	हाँ, कहा है कि उन्होंने यह कहा है कि “अल्लाह ने इस तरह का झूठा बयान दिया है” ? अगर अल्लाह चाहता है तो वे आपका दिल छूट देते हैं। अल्लाह झूठ को खत्म करता है और सत्य को अपनी बातों से तुम्हें यह बताता है तो अल्लाह तुम्हारी बुद्धि के सभी रहस्यों को हटा देता है। वह सभी लोगों की चालों के बारे में जानकारी जानता है।	0.7165292501449585	0.5346553921699524	0.5883951783180237
No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	नहीं, लेकिन मैं बीस फोर प्लस साल पहले एम्ब्रेज़र के लिए बीएमवी की ट्रेड की थी, याद हो लोगों को?	0.7163621187210083	0.5265846848487854	0.5610596537590027
- No. Not here!	- यहाँ नहीं नहीं!	- नंबर? नहीं यहीं!	0.8307101726531982	0.7019529342651367	0.545305609703064
It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	इसे लगातार उसे प्रेरित करके आकर्षित करना चाहिए जो अपने पीछे चली गई या वापस नहीं आ रहा हूँ	0.6943979859352112	0.5445753931999207	0.33273565769195557
And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	और हमें इकट्ठा होकर बैठा रहे हैं इस पर।	0.8249686360359192	0.5562755465507507	0.3270662724971771
MURPH:	MURPH:	एम.पी.एफ. (एम.यू.आर.पी):	0.6262944936752319	0.4222653806209564	0.582077145576477
And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	और पहाड़ियाँ - कैसे बनाई गईं?	0.7760155200958252	0.6818549036979675	0.7763057351112366
Bold	गाढ़ा	बोल्ड	0.8317222595214844	0.47544559836387634	0.7307277321815491
And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	और वह वाक्य है जिसे मैं आपके लिए तैयार कर रहा हूँ।	0.8145946860313416	0.6861374974250793	0.638276994228363
Configure external packages	कॉन्फ़िगर संकुल	बाहरी पैकेज को निर्धारित करना	0.6367760896682739	0.5257845520973206	0.685210645198822
The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	इस बारे में बैंक ने कोई टिप्पणी नहीं दी है कि निर्गमों से इनकार कर रहा है. इस महीने बैंक ने सुना है कि नियामकों से पूछताछ के लिए इसकी पुष्टि की है.	0.8277475237846375	0.5823243260383606	0.6719857454299927
What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	अरे! जो लोग बुरे तरीकों की तलाश में हैं उन्हें सोचता है कि हम उन्हें good ways के लोगों की तुलना में बराबर स्थान देने वाले हैं -क्या यह उनके जीवन और मृत्यु में बराबर स्थान वास्तव में होगा? यह निर्णय वे ठीक से नहीं बनाते हैं.	0.7076170444488525	0.5245795845985413	0.6155730485916138
Ignore him. He's senile.	ये तो सठीया गए हैं	उसे छोड़ दें. वे सेनिल हैं।	0.6780574917793274	0.5205339789390564	0.6045280694961548
Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	यूज़र के लिए डी.एन. को प्राप्त करने में असफल रहा	0.7510432600975037	0.5836675763130188	0.5865918397903442
Your names	EMAIL OF TRANSLATORS	आपके नाम	0.6161524653434753	0.38300755620002747	0.6594940423965454
translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	ट्रांस्लेटर-श्रेयदान	0.5576050281524658	0.3383314609527588	0.4974527955055237
Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	संसारिक इच्छाएँ, पत्नी, बच्चे, तांबे और चाँदी वाले स्वर्णिम भेड़, समुद्री भेड़, गाँव और उसकी देखभाल है जो मेंने आकर्षक लगते हैं, ये संसारिक जीवन की बounties हैं लेकिन आने वाली जीवन में हे इंसान के लिए सर्वश्रेष्ठ स्थान है है प्रहस्य।	0.728610098361969	0.47557708621025085	0.3674847483634949
"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"और प्रार्थना करें: ""हे मेरे राजा, मेरी प्रवेश को सम्मान से और मेरी निकास को सम्मान से स्वीकार करो, और मुझे से जो शक्ति मिल जाती है उससे मुझे संघर्ष करने की शक्ति मिले तो मुझे से उसे संभालने की शक्ति मिलेगी जो मुझे सेवा करने की शक्ति दे देगी."""	0.7550473213195801	0.5874009728431702	0.5405164957046509
There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	लिखने के लिए गाने नहीं हैं जो डिस्क पर रखें	0.8691301941871643	0.65867680311203	0.6275687217712402
An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बांग्लादेश में बंगाली नववर्ष मनाने की समारोह की समृद्ध संस्कृति को लिखने वाले आम नागरिक ने बताया है।	0.7511060833930969	0.5818967819213867	0.7821391820907593
Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	क्या कुछ हो सकता है? नहीं!	0.8254716396331787	0.7956017851829529	0.6911682486534119
- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- क्या तुमने गाड़ी से ही उसे मारसल से मार कर दिया है?	0.8097007870674133	0.5722300410270691	0.6258395314216614
I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंता करता हूँ कि वे तुम्हें मुझसे दूर ले जाएँगे।	0.7909201383590698	0.7817723751068115	0.6855926513671875
Y-you're gonna wear out the spring coil.	छल्लेदार स्प्रिंग घिस जाएगी।	जो तुम्हें लगा दिया गया है वह तुम्हें कई दिनों तक चल नहीं सकता।	0.650139570236206	0.2991165220737457	0.22852887213230133
I don't know.	मैं नहीं जानता.	मुझे नहीं पता।	0.8498220443725586	0.9020084738731384	0.9306613206863403
Korean (_UHC)	कोरियाई (_UHC)	कोरियाई (_यू.एच.सी.)	0.8394536972045898	0.85418701171875	0.9067567586898804
No. You know what I'm gonna do for you?	नहीं, तुम्हें पता है मैं तुम्हारे लिए क्या कर रहा हूँ पता है क्या?	नो. तुम्हें क्या मैं आपके लिए करने जा रहा हूँ?	0.8072414994239807	0.5651783347129822	0.39893007278442383
If you ask them, ‘Who created the heavens and the earth?’ they will surely say, ‘Allah.’ Say, ‘Have you considered what you invoke besides Allah? Should Allah desire some distress for me, can they remove the distress visited by Him? Or should He desire some mercy for me, can they withhold His mercy?’ Say, ‘Allah is sufficient for me. In Him let all the trusting put their trust.’	"यदि तुम उनसे पूछो कि ""आकाशों और धरती को किसने पैदा किया?"" को वे अवश्य कहेंगे, ""अल्लाह ने।"" कहो, ""तुम्हारा क्या विचार है? यदि अल्लाह मुझे कोई तकलीफ़ पहुँचानी चाहे तो क्या अल्लाह से हटकर जिनको तुम पुकारते हो वे उसकी पहुँचाई हुई तकलीफ़ को दूर कर सकते है? या वह मुझपर कोई दयालुता दर्शानी चाहे तो क्या वे उसकी दयालुता को रोक सकते है?"" कह दो, ""मेरे लिए अल्लाह काफ़ी है। भरोसा करनेवाले उसी पर भरोसा करते है।"""	अगर आप उनसे पूछते हैं, 'कैसे आकाश और पृथ्वी बनी हुई है?' उन्होंने सुनने पर सुनिश्चितता से कहा, 'अल्लाह.' से कहें, 'क्या आपको अल्लाह से जो कुछ भी हो रहा है, उसकी सोच-विचार है? अल्लाह से क्या आपको किस तरह की दर्द है, अल्लाह के लिए क्या दर्द उसे हटा देगा? या अल्लाह से क्या दया है, अल्लाह के लिए क्या दया मेरे लिए है, ? से कहें, 'अल्लाह पर्याप्त है। इनमें से सभी विश्वास करने वालों को इनमें से अल्लाह पर विश्वास करने को कहना चाहिए।'	0.717480480670929	0.4956652820110321	0.4002670645713806
"So when her husband saw his shirt torn from the back, he said, ""Indeed, it is of the women's plan. Indeed, your plan is great."	"फिर जब देखा कि उसका कुर्ता पीछे से फटा है तो उसने कहा, ""यह तुम स्त्रियों की चाल है। निश्चय ही तुम्हारी चाल बड़े ग़ज़ब की होती है"	तो जब उनके पति ने अपने खूबसूरत से घिसे पेटे से व्यक्ति का कपड़ा निकाला, तो उसने कहा, “सच है, यह महिलाओं की योजना है। सच है, यह व्यक्ति की योजना भी बहुत अच्छी है।”	0.7286951541900635	0.5633566379547119	0.6669086217880249
Show field i_n View	दृश्य में क्षेत्र दिखायें (_n)	प्रदर्शन का क्षेत्र क्या है	0.71769118309021	0.49222299456596375	0.467535138130188
Thanks. I think.	शुक्रिया, मेरे खयाल से।	थanks। मुझे लग रहा था।	0.7017844915390015	0.47879648208618164	0.5327961444854736
Maybe the even the shroud itself, everything.	शायद यह भी कफन ही, सब कुछ.	शायद यही है जो हो सकता है, वो भी सब कुछ।	0.8433830738067627	0.510545551776886	0.5133002400398254
